Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
uv-protection-aviator-sunglasses-52,UV Protection Aviator Sunglasses (52),"UV Protection Aviator Sunglasses (52)<br><a href=""https://www.flipkart.com/adidas-aviator-sunglasses/p/itm481041d0ed184?pid=SGLGZFKFXYGKFKAD&amp;lid=LSTSGLGZFKFXYGKFKADAERH1X&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_25&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLGZFKFXYGKFKAD.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",ADIDAS,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2369.00,9900.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/s-art0506781-adidas-original-imah2yqmybvmyvfg.jpg?v=1758269442,1,"",false,,,,kg,,,active
gradient-retro-square-sunglasses-58,Gradient Retro Square Sunglasses (58),"Gradient Retro Square Sunglasses (58)<br><a href=""https://www.flipkart.com/new-balance-retro-square-sunglasses/p/itmf4022f9747a5e?pid=SGLHBZRNKY9YYHKD&amp;lid=LSTSGLHBZRNKY9YYHKDOSMJFX&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_23&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHBZRNKY9YYHKD.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",New Balance,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3149.00,13175.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2guzqhqxbg.jpg?v=1758269440,1,"",false,,,,kg,,,active
uv-protection-rectangular-sunglasses-free-size,UV Protection Rectangular Sunglasses (Free Size),"UV Protection Rectangular Sunglasses (Free Size)<br><a href=""https://www.flipkart.com/john-jacobs-rectangular-sunglasses/p/itmd5c4b9276c137?pid=SGLFXCEJEHQUMYJP&amp;lid=LSTSGLFXCEJEHQUMYJPUAWV0E&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_22&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2PsFMaxnyamKr3FWfI2d19giH25UqacWoFY718C_1GRAYE8waCTrWcncKeK_ydPfoM%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4000.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfksehfzwhz8c.jpg?v=1758269439,1,"",false,,,,kg,,,active
polarized-uv-protection-rectangular-sunglasses-53,"Polarized, UV Protection Rectangular Sunglasses (53)","Polarized, UV Protection Rectangular Sunglasses (53)<br><a href=""https://www.flipkart.com/john-jacobs-rectangular-sunglasses/p/itm5661467571e01?pid=SGLFXCEGADJYYMHU&amp;lid=LSTSGLFXCEGADJYYMHUK1WQLB&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_21&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2O9rggp9XHRqxL_VL9O9axKXw06bjcGE_82xEKl-PlO_-I7uWi7bi3WLqk6JF-UYDE%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3000.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/53-138244-john-jacobs-original-imagw2pmgxdhngcs.jpg?v=1758269438,1,"",false,,,,kg,,,active
gradient-retro-square-sunglasses-55,Gradient Retro Square Sunglasses (55),"Gradient Retro Square Sunglasses (55)<br><a href=""https://www.flipkart.com/idee-retro-square-sunglasses/p/itm96a727c81981b?pid=SGLG6YZZZK8WHEP9&amp;lid=LSTSGLG6YZZZK8WHEP9NNTCXZ&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_20&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLG6YZZZK8WHEP9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",IDEE,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2634.00,2800.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/55-idso211c1sg-idee-original-imahfxbtevdkm2zd.jpg?v=1758269436,1,"",false,,,,kg,,,active
polarized-mirrored-aviator-sunglasses-62,"Polarized, Mirrored Aviator Sunglasses (62)","Polarized, Mirrored Aviator Sunglasses (62)<br><a href=""https://www.flipkart.com/hashtag-eyewear-aviator-sunglasses/p/itmb1418ab470ac4?pid=SGLHEM8BPNAADTGS&amp;lid=LSTSGLHEM8BPNAADTGSMWJ96W&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_19&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHEM8BPNAADTGS.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Hashtag eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2608.00,2999.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/large-evai-hl7315-m02-shopsy-hashtag-eyewear-original-imahem8bzkwhnmfk.jpg?v=1758269435,1,"",false,,,,kg,,,active
uv-protection-round-sunglasses-51,UV Protection Round Sunglasses (51),"UV Protection Round Sunglasses (51)<br><a href=""https://www.flipkart.com/john-jacobs-round-sunglasses/p/itm84e40026f60d0?pid=SGLG23QH7FDET6G8&amp;lid=LSTSGLG23QH7FDET6G8XQTTKB&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_18&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2OFMjFWywtzzXZoi0hhiI4Fu8AsTYnhLa9p5yE5CzdV9vcUmN_6PwCReg_VTM4VLxo%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,4000.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/51-jj-s13873-john-jacobs-original-imagw2pmthafx8sj.jpg?v=1758269434,1,"",false,,,,kg,,,active
polarized-uv-protection-retro-square-sunglasses-56,"Polarized, UV Protection Retro Square Sunglasses (56)","Polarized, UV Protection Retro Square Sunglasses (56)<br><a href=""https://www.flipkart.com/john-jacobs-retro-square-sunglasses/p/itmc23f3ac7ca762?pid=SGLFXCEH7UYDAZST&amp;lid=LSTSGLFXCEH7UYDAZSTH6J794&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_17&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2Mc3vKJUoYl6KwZn0FVGYjASe_l4gtOvEECKBcuRUqRKWVkv0XZFiOX7bbXdlao_f8%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2000.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfksfrypjmh3q.jpg?v=1758269433,1,"",false,,,,kg,,,active
uv-protection-retro-square-sunglasses-56,UV Protection Retro Square Sunglasses (56),"UV Protection Retro Square Sunglasses (56)<br><a href=""https://www.flipkart.com/ray-ban-retro-square-sunglasses/p/itm51f7c4a8cb094?pid=SGLGC3HZFWAQAQXQ&amp;lid=LSTSGLGC3HZFWAQAQXQZIOAXK&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_16&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLGC3HZFWAQAQXQ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Ray-Ban,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,6109.00,6790.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gdvxf3e4g.jpg?v=1758269430,1,"",false,,,,kg,,,active
uv-protection-rectangular-sunglasses-58,UV Protection Rectangular Sunglasses (58),"UV Protection Rectangular Sunglasses (58)<br><a href=""https://www.flipkart.com/idee-rectangular-sunglasses/p/itmddf361d9dad58?pid=SGLG6ZYYYDVHRVDM&amp;lid=LSTSGLG6ZYYYDVHRVDMZQEG0Y&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_15&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLG6ZYYYDVHRVDM.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",IDEE,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2250.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/58-idso201c1sg-idee-original-imahfxbxegzdafmu.jpg?v=1758269429,1,"",false,,,,kg,,,active
gradient-uv-protection-aviator-sunglasses-50,"Gradient, UV Protection Aviator Sunglasses (50)","Gradient, UV Protection Aviator Sunglasses (50)<br><a href=""https://www.flipkart.com/hashtag-eyewear-aviator-sunglasses/p/itm9d8e99b94f1cb?pid=SGLHERSNRF3ZU96K&amp;lid=LSTSGLHERSNRF3ZU96KXUEUCN&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_14&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLHERSNRF3ZU96K.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Hashtag eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2298.00,2499.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/large-wb-t170372-blk-blk-hashtag-eyewear-original-imahersnytp7rgeh.jpg?v=1758269428,1,"",false,,,,kg,,,active
polarized-uv-protection-wayfarer-sunglasses-52,"Polarized, UV Protection Wayfarer Sunglasses (52)","Polarized, UV Protection Wayfarer Sunglasses (52)<br><a href=""https://www.flipkart.com/john-jacobs-wayfarer-sunglasses/p/itm1564678c18467?pid=SGLH45NHSRKYNTVW&amp;lid=LSTSGLH45NHSRKYNTVWMPPDVA&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_12&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2OEvAfvxF30pL3y_YIGBpFzmtIdPDaHWWysSedb1cXcXa8iqbiwhGf4dwbXVx7ZSks%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",john jacobs,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,2099.00,6000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahejzwvhjsznpg.jpg?v=1758269426,1,"",false,,,,kg,,,active
mirrored-uv-protection-aviator-sunglasses-58,"Mirrored, UV Protection Aviator Sunglasses (58)","Mirrored, UV Protection Aviator Sunglasses (58)<br><a href=""https://www.flipkart.com/ray-ban-aviator-sunglasses/p/itmf3yh7t59qpwwu?pid=SGLFUT9YHMYFA2WH&amp;lid=LSTSGLFUT9YHMYFA2WHCE0KSD&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_9&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=d0104f7d-2121-4387-8142-4248f590c396.SGLFUT9YHMYFA2WH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",Ray-Ban,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3909.00,5590.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gjzz5yatg.jpg?v=1758269420,1,"",false,,,,kg,,,active
gradient-retro-square-sunglasses-54,Gradient Retro Square Sunglasses (54),"Gradient Retro Square Sunglasses (54)<br><a href=""https://www.flipkart.com/new-balance-retro-square-sunglasses/p/itm211adb26cde3e?pid=SGLHBZRMEP4DWHTR&amp;lid=LSTSGLHBZRMEP4DWHTR5JMXVB&amp;marketplace=FLIPKART&amp;q=sunglasses+for+men&amp;store=26x&amp;srno=s_1_6&amp;otracker=search&amp;otracker1=search&amp;fm=organic&amp;iid=en_us8_gmtO2fntMiw61i6gESsIcQiQK3du651H_RlsR2MniyaCLp5msu5RbgRGMebHVvNdXub2cwrNDDdpjlIiwg891ypMzu4_aryI8_sihJ8%3D&amp;ppt=None&amp;ppn=None&amp;ssid=kj9fiy2quo0000001758267080298&amp;qH=6b2fc78527489988"">View on Flipkart</a>",New Balance,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,Sunglasses,true,Title,Default Title,,,,,,,,,0.0,,100,deny,manual,3149.00,13175.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/original-imahfv2gkz4swxvx.jpg?v=1758269414,1,"",false,,,,kg,,,active
